track_name,artist,playcount,listeners,duration_seconds
"good luck, babe!",Chappell Roan,43486709,1634237,0.0
birds of a feather,Billie Eilish,40194736,1726442,0.0
no one noticed,The Marías,15385797,888918,0.0
luther (with sza),Kendrick Lamar,16589617,1111812,0.0
espresso,Sabrina Carpenter,42475907,1725006,0.0
see you again (feat. kali uchis),"Tyler, the Creator",42998338,2058065,0.0
abracadabra,Lady Gaga,13813250,757894,0.0
guess featuring billie eilish,Charli XCX,20083058,1208899,0.0
die with a smile,Lady Gaga,22003574,1343415,0.0
taste,Sabrina Carpenter,21415189,1173236,0.0
von dutch,Charli XCX,20319943,1041051,0.0
denial is a river,Doechii,10468779,996671,0.0
505,Arctic Monkeys,42946266,2409534,0.253
pink pony club,Chappell Roan,17847219,1103042,0.0
headlock,Imogen Heap,14822393,1068800,0.216
all the stars (with sza),Kendrick Lamar,23803891,1705841,0.0
what was that,Lorde,2782703,321959,0.0
timeless (feat playboi carti),The Weeknd,3772486,543341,0.0
juno,Sabrina Carpenter,15791513,818038,0.0
wildflower,Billie Eilish,23266532,1176553,0.0
lovers rock,TV Girl,37115128,1685791,0.213
creep,Radiohead,41869685,3285316,0.239
please please please,Sabrina Carpenter,27172948,1372146,0.0
sports car,Tate McRae,8942409,502477,0.0
duvet,bôa,29544043,1465642,0.203
like him (feat. lola young),"Tyler, the Creator",12824442,986025,0.0
bed chem,Sabrina Carpenter,17278520,954292,0.0
busy woman,Sabrina Carpenter,6430870,520177,0.0
the less i know the better,Tame Impala,35705990,2167788,0.0
sailor song,Gigi Perez,16309000,841865,0.0
party 4 u,Charli XCX,7178205,571169,0.0
hot to go!,Chappell Roan,24959672,1274561,0.0
poker face,Lady Gaga,28590250,2917407,0.239
360,Charli XCX,25416200,1305905,0.0
tv off (feat. lefty gunplay),Kendrick Lamar,10621533,922322,0.0
juna,Clairo,12786720,854096,0.0
not like us,Kendrick Lamar,23364957,1592666,0.0
sweater weather,The Neighbourhood,38479976,2414822,0.24
are we still friends?,"Tyler, the Creator",22956626,1410096,0.0
tonight,pinkpantheress,2431216,277537,0.0
no surprises,Radiohead,39809956,2717118,0.0
"girl, so confusing featuring lorde",Charli XCX,8057471,674243,0.0
money trees,Kendrick Lamar,27627382,1757313,0.0
red wine supernova,Chappell Roan,23526122,1057150,0.0
chihiro,Billie Eilish,22108811,1187757,0.0
love me not,Ravyn Lenae,4998639,447044,0.0
like jennie,Jennie,6536027,380815,0.0
twilight zone,Ariana Grande,4090852,342064,0.0
iris,The Goo Goo Dolls,15995713,1316179,0.289
judas,Lady Gaga,22584236,1461524,0.25
that’s so true,Gracie Abrams,14147420,721502,0.0
bags,Clairo,25094523,1220812,0.0
ribs,Lorde,25033346,1452898,0.258
feel good inc.,Gorillaz,33362350,3069864,0.221
heaven knows i'm miserable now - 2011 remaster,The Smiths,17169216,1208781,0.0
nokia,Drake,4156285,405833,0.0
just dance,Lady Gaga,21514265,2344792,0.277
we can't be friends (wait for your love),Ariana Grande,25255997,1068054,0.0
back to friends,Sombr,2902362,323375,0.0
casual,Chappell Roan,20436402,992845,0.0
linger,The Cranberries,23664979,1974880,0.297
365,Charli XCX,15921683,1000969,0.0
rather lie (with the weeknd),Playboi Carti,4343404,407912,0.0
dreams - 2004 remaster,Fleetwood Mac,18676087,1448122,0.0
earfquake,"Tyler, the Creator",31240147,1747205,0.0
back to me,The Marías,1652920,244443,0.0
bad romance,Lady Gaga,27601010,2497993,0.261
"henry, come on",Lana Del Rey,2850838,241328,0.0
pain,pinkpantheress,27033791,1454320,0.0
my love mine all mine,Mitski,39541344,1638806,0.0
"sticky (feat. glorilla, sexyy red & lil wayne)","Tyler, the Creator",10150050,956859,0.0
evil j0rdan,Playboi Carti,4917445,529616,0.0
the perfect pair,beabadoobee,20706316,1080225,0.0
i wanna be yours,Arctic Monkeys,32608665,2124767,0.184
fade into you,Mazzy Star,23842751,1683466,0.291
all i need,Radiohead,26339888,1857408,0.261
headphones on,Addison Rae,1822873,240028,0.0
ivy,Frank Ocean,34430625,1556343,0.0
apocalypse,Cigarettes After Sex,30964913,1639279,0.0
the giver,Chappell Roan,3868084,478097,0.0
heavy,The Marías,7298718,560740,0.0
b2b,Charli XCX,11951792,783770,0.0
apt.,Rosé,19245792,1042383,0.0
nissan altima,Doechii,7489259,700648,0.0
still into you,Paramore,19346299,1546644,0.216
dark red,Steve Lacy,31531322,1748472,0.0
revolving door,Tate McRae,5061118,364740,0.0
apple,Charli XCX,17446029,1160043,0.0
mr. brightside,The Killers,42237270,3377759,0.224
come as you are,Nirvana,30317155,3174087,0.208
"one of the girls (with jennie, lily rose depp)",The Weeknd,18844891,1037970,0.0
white ferrari,Frank Ocean,30156850,1351698,0.0
pride.,Kendrick Lamar,26064285,1503086,0.0
no. 1 party anthem,Arctic Monkeys,15793503,1246168,0.243
every breath you take,The Police,17482744,2194247,0.253
let down,Radiohead,20082195,1693166,0.299
not allowed,TV Girl,29193934,1312420,0.0
paparazzi,Lady Gaga,21917497,2228571,0.209
do i wanna know?,Arctic Monkeys,36542470,2453745,0.272
