track_name,artist,playcount,listeners,duration_seconds
"Good Luck, Babe!",Chappell Roan,43486709,1634237,0.0
BIRDS OF A FEATHER,Billie Eilish,40194736,1726442,0.0
No One Noticed,The Marías,15385797,888918,0.0
luther (with SZA),Kendrick Lamar,16589617,1111812,0.0
espresso,Sabrina Carpenter,42475907,1725006,0.0
See You Again (feat. Kali Uchis),"Tyler, the Creator",42998338,2058065,0.0
Abracadabra,Lady Gaga,13813250,757894,0.0
guess featuring billie eilish,Charli XCX,20083058,1208899,0.0
Die With A Smile,Lady Gaga,22003574,1343415,0.0
tAsTe,Sabrina Carpenter,21415189,1173236,0.0
Von Dutch,Charli XCX,20319943,1041051,0.0
DENIAL IS A RIVER,Doechii,10468779,996671,0.0
Pink + White,Frank Ocean,47313792,2025407,0.0
505,Arctic Monkeys,42946266,2409534,0.253
Pink Pony Club,Chappell Roan,17847219,1103042,0.0
Headlock,Imogen Heap,14822393,1068800,0.216
All The Stars (with SZA),Kendrick Lamar,23803891,1705841,0.0
What Was That,Lorde,2782703,321959,0.0
Timeless (Feat Playboi Carti),The Weeknd,3772486,543341,0.0
Juno,Sabrina Carpenter,15791513,818038,0.0
Wildflower,Billie Eilish,23266532,1176553,0.0
Lovers Rock,TV Girl,37115128,1685791,0.213
Creep,Radiohead,41869685,3285316,0.239
Please Please Please,Sabrina Carpenter,27172948,1372146,0.0
sports car,Tate McRae,8942409,502477,0.0
Duvet,bôa,29544043,1465642,0.203
Like Him (feat. Lola Young),"Tyler, the Creator",12824442,986025,0.0
Bed Chem,Sabrina Carpenter,17278520,954292,0.0
Busy Woman,Sabrina Carpenter,6430870,520177,0.0
The Less I Know the Better,Tame Impala,35705990,2167788,0.0
Sailor Song,Gigi Perez,16309000,841865,0.0
Party 4 U,Charli XCX,7178205,571169,0.0
HOT TO GO!,Chappell Roan,24959672,1274561,0.0
Poker Face,Lady Gaga,28590250,2917407,0.239
360,Charli XCX,25416200,1305905,0.0
tv off (feat. Lefty Gunplay),Kendrick Lamar,10621533,922322,0.0
Juna,Clairo,12786720,854096,0.0
Not Like Us,Kendrick Lamar,23364957,1592666,0.0
Sweater Weather,The Neighbourhood,38479976,2414822,0.24
Are We Still Friends?,"Tyler, the Creator",22956626,1410096,0.0
Tonight,pinkpantheress,2431216,277537,0.0
No Surprises,Radiohead,39809956,2717118,0.0
"Girl, so confusing featuring lorde",Charli XCX,8057471,674243,0.0
Money Trees,Kendrick Lamar,27627382,1757313,0.0
Red Wine Supernova,Chappell Roan,23526122,1057150,0.0
CHIHIRO,Billie Eilish,22108811,1187757,0.0
Love Me Not,Ravyn Lenae,4998639,447044,0.0
like JENNIE,Jennie,6536027,380815,0.0
Twilight Zone,Ariana Grande,4090852,342064,0.0
Iris,The Goo Goo Dolls,15995713,1316179,0.289
Judas,Lady Gaga,22584236,1461524,0.25
that’s so true,Gracie Abrams,14147420,721502,0.0
Bags,Clairo,25094523,1220812,0.0
Ribs,Lorde,25033346,1452898,0.258
Feel Good Inc.,Gorillaz,33362350,3069864,0.221
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,17169216,1208781,0.0
Nokia,Drake,4156285,405833,0.0
Just Dance,Lady Gaga,21514265,2344792,0.277
we can't be friends (wait for your love),Ariana Grande,25255997,1068054,0.0
back to friends,Sombr,2902362,323375,0.0
Casual,Chappell Roan,20436402,992845,0.0
Linger,The Cranberries,23664979,1974880,0.297
365,Charli XCX,15921683,1000969,0.0
RATHER LIE (with The Weeknd),Playboi Carti,4343404,407912,0.0
Dreams - 2004 Remaster,Fleetwood Mac,18676087,1448122,0.0
Earfquake,"Tyler, the Creator",31240147,1747205,0.0
Back To Me,The Marías,1652920,244443,0.0
Bad Romance,Lady Gaga,27601010,2497993,0.261
"Henry, Come On",Lana Del Rey,2850838,241328,0.0
Pain,pinkpantheress,27033791,1454320,0.0
My Love Mine All Mine,Mitski,39541344,1638806,0.0
"STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, the Creator",10150050,956859,0.0
EVIL J0RDAN,Playboi Carti,4917445,529616,0.0
The Perfect Pair,beabadoobee,20706316,1080225,0.0
I Wanna Be Yours,Arctic Monkeys,32608665,2124767,0.184
Fade Into You,Mazzy Star,23842751,1683466,0.291
All I Need,Radiohead,26339888,1857408,0.261
Headphones On,Addison Rae,1822873,240028,0.0
Ivy,Frank Ocean,34430625,1556343,0.0
Apocalypse,Cigarettes After Sex,30964913,1639279,0.0
The Giver,Chappell Roan,3868084,478097,0.0
Heavy,The Marías,7298718,560740,0.0
B2b,Charli XCX,11951792,783770,0.0
APT.,Rosé,19245792,1042383,0.0
NISSAN ALTIMA,Doechii,7489259,700648,0.0
Still into You,Paramore,19346299,1546644,0.216
Dark Red,Steve Lacy,31531322,1748472,0.0
revolving door,Tate McRae,5061118,364740,0.0
Apple,Charli XCX,17446029,1160043,0.0
Mr. Brightside,The Killers,42237270,3377759,0.224
Come as You Are,Nirvana,30317155,3174087,0.208
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,18844891,1037970,0.0
White Ferrari,Frank Ocean,30156850,1351698,0.0
PRIDE.,Kendrick Lamar,26064285,1503086,0.0
No. 1 Party Anthem,Arctic Monkeys,15793503,1246168,0.243
Every Breath You Take,The Police,17482744,2194247,0.253
Let Down,Radiohead,20082195,1693166,0.299
Not Allowed,TV Girl,29193934,1312420,0.0
Paparazzi,Lady Gaga,21917497,2228571,0.209
Do I Wanna Know?,Arctic Monkeys,36542470,2453745,0.272
